id,topic,page_title,section_heading,content,source,url
11,Immunisation Schedule,National Immunisation Schedule,（主文）,"页面标题：National Immunisation Schedule
章节：（主文）
---
All individuals aged from 5 years are eligible to receive two doses of a COVID-19 vaccine. Additional doses are also available to different groups.

Adrenaline 1:1,000 injection is approved for use in all approved immunisation programmes for the management of post-vaccination anaphylaxis for administration without prescription by authorised vaccinators. See section 2.3.3 and A9.3.1 .",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/national-immunisation-schedule
12,Immunisation Schedule,National Immunisation Schedule,Also in this section,"页面标题：National Immunisation Schedule
章节：Also in this section
---
- Guidance and programmes

- National Stroke Clot Retrieval Service Improvement

- Communicable Disease Control Manual

- Diseases and conditions

- Specific life stage health information

- Data and statistics

- Employment relations

- Health sector updates

- Health workforce development

- Hospital and specialist services

- Immunisation

- My Health Account Workforce

- Voluntary Bonding Scheme

- Youth health",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/national-immunisation-schedule
13,Introduction,Introduction,（主文）,"页面标题：Introduction
章节：（主文）
---
- Guidance and programmes /

- Introduction",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
14,Introduction,Introduction,On this page,"页面标题：Introduction
章节：On this page
---
- Changes to the Handbook during 2025

- The National Immunisation Schedule

- Changes to the National Immunisation Schedule in 2025

- Table 1: National Immunisation Schedule, commencing 1 March 2023

- Changes to extended immunisation programme for special groups

- Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule

- Eligibility for publicly funded vaccines

- Notifiable diseases

The information contained within the Handbook was correct at the time of publication. This edition of the Handbook will remain current unless amended electronically via the Health New Zealand | Te Whatu Ora website until the next edition or update is published.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
15,Introduction,Introduction,Changes to the Handbook during 2025,"页面标题：Introduction
章节：Changes to the Handbook during 2025
---
The following changes have been made for the 2025 edition:

- Chapter 2 Safety monitoring of vaccines in New Zealand – updates to the New Zealand pharmacovigilance system.

- Chapter 17 Pneumococcal vaccine (PPV23) – amended eligibility criteria, for use in testing for primary immunodeficiency diseases, on the recommendation of an internal medicine physician or paediatrician.

- Chapter 19 Respiratory syncytial virus – addition of funded palivizumab for very high-risk infants.

- Appendix 4 – amendments around vaccinator authorisations.

- Appendix 6 – changes to the human normal immunoglobulin products.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
16,Introduction,Introduction,The National Immunisation Schedule,"页面标题：Introduction
章节：The National Immunisation Schedule
---
Although funding decisions will be communicated to the sector, vaccinators are advised to regularly check the Pharmaceutical Schedule (external link) and any online updates for changes to funding decisions, and the Handbook for the latest immunisation information.

The National Immunisation Schedule (the Schedule) is the series of publicly funded vaccines available in New Zealand (see Table 1 ). Some vaccines are also offered as part of an extended immunisation programme for targeted special groups in response to a recognised need (see Table 2 ). See also section 2.1.7 for a summary of the primary immunisation requirements for adults (funded) and other funded and unfunded recommendations for this age group.

On 1 July 2012, the management and purchasing of vaccines transferred from the Ministry of Health to PHARMAC. All publicly funded vaccines are now listed on PHARMAC’s Pharmaceutical Schedule (external link) , and the districts are responsible for funding these once PHARMAC has listed them.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
17,Introduction,Introduction,The National Immunisation Schedule,"页面标题：Introduction
章节：The National Immunisation Schedule
---
PHARMAC considers medicine and vaccine funding applications from pharmaceutical suppliers, health professionals, consumer groups and patients. Usually, manufacturers/suppliers decide whether to make an application for funding. Normally this will follow registration and approval of the medicine or vaccine by Medsafe. PHARMAC will generally only consider an application for a medicine or vaccine to be funded once it has been registered and approved by Medsafe.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
18,Introduction,Introduction,The National Immunisation Schedule,"页面标题：Introduction
章节：The National Immunisation Schedule
---
Following a vaccine funding application, PHARMAC will assess the vaccine, seek clinical input (for vaccines this may be from the immunisation subcommittee of the Pharmacology and Therapeutics Advisory Committee [PTAC] or from PTAC itself), and conduct an economic analysis. The recommendations from the immunisation subcommittee are then considered by PTAC, which will provide advice to PHARMAC. PHARMAC then decides what priority the application has for funding and consults with Health New Zealand | Te Whatu Ora on capacity and implementation issues that may be associated with introducing a new vaccine. Depending on the outcome of that process, PHARMAC may then negotiate with the supplier. If an agreement is reached, PHARMAC will consult with the health sector on a funding proposal.

Health New Zealand | Te Whatu Ora remains responsible for and manages the National Immunisation Programme, which:

- aims to prevent disease through vaccination and to achieve coverage that prevents outbreaks and epidemics

- is accountable for achieving the Immunisation Coverage targets",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
19,Introduction,Introduction,The National Immunisation Schedule,"页面标题：Introduction
章节：The National Immunisation Schedule
---
- monitors disease burden and those at risk

- provides guidance to the sector on immunisation, cold chain and resources

- ensures immunisation providers deliver services that meet the needs of their population

- implements the National Immunisation Schedule

- delivers trusted and effective vaccine programmes

- improves information and data systems

- manages the Aotearoa Immunisation Register (AIR) (see section 2.3.5 ).

Health New Zealand | Te Whatu Ora works with PHARMAC to ensure there is a strong link between vaccine purchasing decisions and the management and implementation of the National Immunisation Programme.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
20,Introduction,Introduction,Changes to the National Immunisation Schedule in 2025,"页面标题：Introduction
章节：Changes to the National Immunisation Schedule in 2025
---
Table 1 shows the National Immunisation Schedule, and Table 2 shows the vaccines funded for special groups at higher risk of some diseases.

Changes to vaccine funding in 2025 are as follows:

- As for 2024, the quadrivalent inactivated influenza vaccine (Influvac Tetra; see chapter 11 ‘Influenza’ ) will be the Schedule vaccine for eligible individuals, including pregnant women and adults aged 65 years and older.

- Eligibility for funded meningococcal B vaccine (Bexsero) is extended to all children aged up to 59 months inclusive (ie. funding continues after the end of catch-up period on 31 August 2025).",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
21,Introduction,Introduction,"Table 1: National Immunisation Schedule, commencing 1 March 2023","页面标题：Introduction
章节：Table 1: National Immunisation Schedule, commencing 1 March 2023
---
DTaP-IPV-HepB/Hib

Infanrix-hexa

Infanrix-IPV

Influvac Tetra

Manufacturer

a. Tdap is for women during every pregnancy, preferably in the second trimester from 16 weeks’ gestation (funded at any time in second or third trimester).

b. For infants at high risk of pneumococcal disease, an additional dose of PCV13 is given at age 3 months.

c. An alternative approved schedule for MenB can be offered at ages 8 weeks, 4 months and 12 months.

d. VV is funded for children born on or after 1 April 2016.

e. HPV is funded for individuals aged 26 years and under: 2 doses are recommended for individuals who receive the first dose before their 15th birthday, even if they are 15 years or older at the time of the second dose; 3 doses are recommended for those aged 9–26 years with certain medical conditions, plus an additional dose post-chemotherapy.

f. Funded for adults from 45 years who have not received 4 previous doses of tetanus vaccine.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
22,Introduction,Introduction,"Table 1: National Immunisation Schedule, commencing 1 March 2023","页面标题：Introduction
章节：Table 1: National Immunisation Schedule, commencing 1 March 2023
---
All individuals aged from 5 years are eligible to receive a primary course of a COVID-19 vaccine. Additional doses are also available to certain groups (see Chapter 5 ).",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
23,Introduction,Introduction,Changes to extended immunisation programme for special groups,"页面标题：Introduction
章节：Changes to extended immunisation programme for special groups
---
Vaccines funded for special groups are described in Table 2 below. Changes to existing programmes in 2025 are as follows.

- Palivizumab is funded through special authority for certain infants at very high risk of severe lower respiratory tract disease due to respiratory syncytial virus (RSV) infection (see chapter 19, ‘Respiratory syncytial virus’).",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
24,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
Note: Vaccinators are advised to regularly check the Pharmaceutical Schedule and any online updates (external link) for changes to funding decisions for special groups. See also chapter 4 ‘ Immunisation of special groups ’.

Individuals eligible for funded vaccine

Haemophilus in?uenzae type b (Hib-PRP) ( chapter 7 )

For (re)vaccination of patients who are:

- post-haematopoietic stem cell transplant (HSCT) or chemotherapy

- pre- or post-splenectomy or with functional asplenia

- pre- or post-solid organ transplant

- pre- or post-cochlear implants

- undergoing renal dialysis and other severely immunosuppressive regimens

For use in testing for primary immune deficiency a

Hepatitis A (HepA) ( chapter 8 )

Transplant patients

Children with chronic liver disease

Close contacts of hepatitis A cases

Hepatitis B (HepB) ( chapter 9 )

Household or sexual contacts of patients with acute or chronic hepatitis B virus (HBV) infection",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
25,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
Babies of mothers with chronic HBV infection need both hepatitis B vaccine (HepB) and hepatitis B immunoglobulin (HBIG) at birth

Children aged under 18 years who have not achieved positive serology and who require additional vaccination

HIV-positive patients

Hepatitis C-positive patients

Following non-consensual sexual intercourse

Prior to any planned immunosuppression b

Patients following immunosuppression b

Solid organ transplant patients, including liver or kidney transplant

Post-HSCT patients

Following needle-stick injury

Dialysis patients

Human papillomavirus (HPV) ( chapter 10 )

People aged 9 to 26 years inclusive who are:

- confirmed with HIV infection

- transplant (including stem cell) patients

- post-chemotherapy

Annual in?uenza vaccine ( chapter 11 )

Patients aged 6 months to <65 years who:

- have any of the following cardiovascular diseases: ischaemic heart disease congestive heart failure rheumatic heart disease congenital heart disease cerebrovascular disease

- ischaemic heart disease",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
26,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
- congestive heart failure

- rheumatic heart disease

- congenital heart disease

- cerebrovascular disease

- have either of the following chronic respiratory diseases: asthma, if on a regular preventative therapy other chronic respiratory disease with impaired lung function

- asthma, if on a regular preventative therapy

- other chronic respiratory disease with impaired lung function

- have diabetes

- have chronic renal disease

- have any cancer, excluding basal and squamous skin cancers if not invasive

- have any of the following other conditions: autoimmune disease immune suppression or immune deficiency HIV transplant recipients neuromuscular and central nervous system diseases/disorders haemoglobinopathies are children on long-term aspirin have a cochlear implant errors of metabolism at risk of major metabolic decompensation pre- and post-splenectomy Down syndrome

- autoimmune disease

- immune suppression or immune deficiency

- transplant recipients",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
27,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
- neuromuscular and central nervous system diseases/disorders

- haemoglobinopathies

- are children on long-term aspirin

- have a cochlear implant

- errors of metabolism at risk of major metabolic decompensation

- pre- and post-splenectomy

- Down syndrome

- are pregnant

- are children aged 4 years and under who have been hospitalised for respiratory illness or have a history of significant respiratory illness, including children age under 5 who were hospitalised with measles

- are currently accessing secondary or tertiary mental health and addiction services

- have any of the following serious mental health conditions: schizophrenia major depressive disorder bipolar disorder schizoaffective disorder

- schizophrenia

- major depressive disorder

- bipolar disorder

- schizoaffective disorder

Measles, mumps and rubella (MMR) (chapters 12 , 14 and 21 )

(Re)vaccination of patients prior to planned or following immunosuppression b",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
28,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
Meningococcal conjugate quadrivalent vaccine (MenACWY) and meningococcal B vaccine (MenB) ( chapter 13 )

- Pre- and post-splenectomy or with functional or anatomical asplenia

- Complement deficiency (acquired or inherited)

- Pre- or post-solid organ transplant

- Close contacts of meningococcal case

- HSCT (bone marrow transplant) patients

- Prior to any planned immunosuppression b

- Following immunosuppression b

- Individuals who have had previous meningococcal disease (any group)

- Individuals aged between 13 and 25 years entering or in their first year of living in boarding school hostels, tertiary education halls of residence, military barracks, youth justice residences or prisons. This includes children who turn 13 years while living in boarding school hostels.

Pertussis-containing vaccines ( chapter 16 )

Pregnant women – recommended to be given from 16 weeks’ gestation of every pregnancy, preferably in the second trimester. (Funded when given any time in second or third trimester)",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
29,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
Tdap is funded for parents or primary caregivers of infants admitted to a neonatal intensive care unit or special care baby unit for more than 3 days, who had not been exposed to maternal vaccination at least 14 days prior to birth

(Re)vaccination of patients who are:

- post-HSCT or chemotherapy

- pre- or post-splenectomy

- pre- or post-solid organ transplant

- undergoing renal dialysis or other severely immunosuppressive regimens

13-valent pneumococcal conjugate vaccine (PCV13) and 23?valent pneumococcal polysaccharide vaccine (23PPV) ( chapter 17 )

For (re)vaccination of high-risk children, PCV13 for patients aged under 5 years and 23PPV for patients aged under 18 years:

- prior to planned or on immunosuppressive therapy or radiotherapy (vaccinate when there is expected to be a sufficient immune response)

- with primary immune deficiencies

- with HIV infection

- with renal failure or nephrotic syndrome

- who are immune-suppressed following organ transplantation (including HSCT)",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
30,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
- with cochlear implants or intracranial shunts

- with cerebrospinal fluid leak

- receiving corticosteroid therapy for more than 2 weeks, and who are on an equivalent daily dosage of prednisone of 2 mg/kg per day or greater, or children who weigh more than 10 kg on a total daily dosage of 20 mg or greater

- with chronic pulmonary disease (including asthma treated with high-dose corticosteroid therapy)

- preterm infants, born before 28 weeks’ gestation

- with cardiac disease, with cyanosis or failure

- with diabetes

- with Down syndrome

- who are pre- or post-splenectomy, or with functional asplenia

PCV13 and 23PPV for (re)vaccination of patients aged 5 years and older:

- with HIV infection

- pre- or post-HSCT c or chemotherapy c

- pre- or post-splenectomy or with functional asplenia

- pre- or post-solid organ transplant

- undergoing renal dialysis

- with complement deficiency (acquired or inherited)

- with cochlear implants, intracranial shunts d or cerebrospinal fluid leaks d",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
31,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
- with primary immune deficiency

PCV13 and 23PPV for use in testing for primary immune deficiency. a

Inactivated polio vaccine (IPV) ( chapter 18 )

(Re)vaccination of patients prior to planned or following immunosuppression b

Tetanus, diphtheria and pertussis (Tdap) ( chapter 22 )

(Re)vaccination of patients prior to planned or following immunosuppression b

Boosting of patients with tetanus-prone wounds

For use in testing for primary immune deficiency a

Bacillus Calmette–Guérin (BCG) ( chapter 23 )

For infants at increased risk of tuberculosis (TB):

- living in a house or family with a person with current or history of TB; or

- having one or more household members or carers who within the last 5 years lived in a country with a rate of TB ≥40 per 100,000 for 6 months or longer; or

- who, during their first 5 years, will be living 3 months or longer in a country with a rate of TB ≥40 per 100,000

Varicella vaccine (VV) ( chapter 24 )

Non-immune patients:",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
32,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
- with chronic liver disease who may in future be candidates for transplantation

- with deteriorating renal function before transplantation

- prior to solid organ transplant

- prior to any planned immunosuppression b

- for post-exposure prophylaxis of immune-competent hospital in-patients

Patients at least 2 years after bone marrow transplantation, on advice of their specialist.

Patients at least 6 months after completion of chemotherapy, on advice of their specialist.

HIV-positive patients with mild or moderate immunosuppression who are non-immune to varicella, on advice of their HIV specialist.

Patients with inborn errors of metabolism at risk of major metabolic decompensation, with no clinical history of varicella.

Household members of paediatric patients who are immunocompromised, or undergoing a procedure leading to immunocompromise, where the household member has no clinical history of varicella.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
33,Introduction,Introduction,Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule,"页面标题：Introduction
章节：Table 2: Extended immunisation programme for special groups – vaccines funded in addition to the routine schedule
---
Household members of adult patients who have no clinical history of varicella and who are severely immunocompromised or undergoing a procedure leading to immunocompromise, where the household contact has no clinical history of varicella.

Zoster (rZV) ( chapter 25 )

Individuals aged from 18 years, including those aged 66 years and over,

- pre- and post-haematopoietic stem cell transplant or cellular therapy

- pre- or post-solid organ transplant

- with haematological malignancies

- living with poorly controlled HIV infection

- prior to planned or receiving disease-modifying anti-rheumatic drugs (DMARDs – targeted synthetic, biologic, or conventional synthetic) for polymyalgia rheumatica, systemic lupus erythematosus or rheumatoid arthritis

- with end-stage kidney disease (CKD 4 or 5)

- with primary immunodeficiency.

a. Upon the recommendation of an internal medicine physician or paediatrician.

b. The period of immunosuppression due to steroid or other immunosuppressive therapy must be longer than 28 days.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/introduction
